Warning: The created OpenGL context does not fully meet the settings that were requested
Requested: version = 1.1 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Created: version = 0.0 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Setting vertical sync failed
magnitude;type;tk
15.7223;0;0.0022
15.7223;0;0.0022
15.7223;0;0.0022
15.7223;0;0.0022
15.7223;1;0.0022
15.7223;2;0.0022
15.6726;0;0.0022
15.6726;0;0.0022
15.6726;0;0.0022
15.6726;0;0.0022
15.6726;1;0.0022
15.6726;2;0.0022
0.00889125;0;0.0022
0.00889125;0;0.0022
0.00889125;1;0.0022
0.00889125;1;0.0022
2.06591;0;0.0023
2.06591;0;0.0023
2.06591;0;0.0023
2.06591;1;0.0023
2.06591;1;0.0023
2.06591;2;0.0023
2.08251;0;0.0023
2.08251;0;0.0023
2.08251;0;0.0023
2.08251;1;0.0023
2.08251;1;0.0023
2.08251;2;0.0023
2.14146;0;0.0023
2.14146;0;0.0023
2.14146;0;0.0023
2.14146;1;0.0023
2.14146;1;0.0023
2.11053;0;0.0023
2.11053;0;0.0023
2.11053;0;0.0023
2.11053;1;0.0023
2.11053;1;0.0023
17.2934;0;0.0023
17.2934;0;0.0023
17.2934;0;0.0023
17.2934;0;0.0023
17.2934;1;0.0023
17.2934;2;0.0023
17.2436;0;0.0023
17.2436;0;0.0023
17.2436;0;0.0023
17.2436;0;0.0023
17.2436;1;0.0023
17.2436;2;0.0023
0.00889217;0;0.0023
0.00889217;0;0.0023
0.00889217;1;0.0023
0.00889217;1;0.0023
2.06591;0;0.0024
2.06591;0;0.0024
2.06591;0;0.0024
2.06591;1;0.0024
2.06591;1;0.0024
2.06591;2;0.0024
2.08251;0;0.0024
2.08251;0;0.0024
2.08251;0;0.0024
2.08251;1;0.0024
2.08251;1;0.0024
2.08251;2;0.0024
2.14146;0;0.0024
2.14146;0;0.0024
2.14146;0;0.0024
2.14146;1;0.0024
2.14146;1;0.0024
2.11053;0;0.0024
2.11053;0;0.0024
2.11053;0;0.0024
2.11053;1;0.0024
2.11053;1;0.0024
18.9385;0;0.0024
18.9385;0;0.0024
18.9385;0;0.0024
18.9385;0;0.0024
18.9385;1;0.0024
18.9385;2;0.0024
18.8887;0;0.0024
18.8887;0;0.0024
18.8887;0;0.0024
18.8887;0;0.0024
18.8887;1;0.0024
18.8887;2;0.0024
0.00889308;0;0.0024
0.00889308;0;0.0024
0.00889308;1;0.0024
0.00889308;1;0.0024
2.06591;0;0.0025
2.06591;0;0.0025
2.06591;0;0.0025
2.06591;1;0.0025
2.06591;1;0.0025
2.06591;2;0.0025
2.08251;0;0.0025
2.08251;0;0.0025
2.08251;0;0.0025
2.08251;1;0.0025
2.08251;1;0.0025
2.08251;2;0.0025
2.14146;0;0.0025
2.14146;0;0.0025
2.14146;0;0.0025
2.14146;1;0.0025
2.14146;1;0.0025
2.11053;0;0.0025
2.11053;0;0.0025
2.11053;0;0.0025
2.11053;1;0.0025
2.11053;1;0.0025
19.8729;0;0.0025
19.8729;0;0.0025
